time [s], mxb, myb, mzb, sxb, syb, szb
1.190000e+01, 3.318004e-01, -3.703427e-01, -8.676144e-01, -6.366050e-01, 5.807349e-01, -5.074260e-01
12, 3.568516e-01, -5.548244e-01, -7.515496e-01, -3.288380e-01, 6.676440e-01, -6.679200e-01
1.210000e+01, 2.915419e-01, -7.328224e-01, -6.147965e-01, 1.563770e-02, 6.419744e-01, -7.665665e-01
1.220000e+01, 1.663971e-01, -8.540909e-01, -4.927888e-01, 3.472579e-01, 5.093378e-01, -7.873925e-01
1.230000e+01, -1.401292e-02, -9.236228e-01, -3.830465e-01, 6.209630e-01, 2.844579e-01, -7.304030e-01
1.240000e+01, -2.291472e-01, -9.234320e-01, -3.078392e-01, 7.988794e-01, 1.860550e-03, -6.014883e-01
1.250000e+01, -4.350537e-01, -8.556708e-01, -2.802780e-01, 8.572548e-01, -3.010819e-01, -4.176887e-01
1.260000e+01, -6.095130e-01, -7.273969e-01, -3.152581e-01, 7.858451e-01, -5.826437e-01, -2.073012e-01
1.270000e+01, -7.447280e-01, -5.492839e-01, -3.790349e-01, 5.968708e-01, -8.023348e-01, 2.024734e-03
1.280000e+01, -7.958973e-01, -3.615261e-01, -4.856402e-01, 3.140770e-01, -9.318042e-01, 1.819247e-01
1.290000e+01, -7.603626e-01, -1.787956e-01, -6.244045e-01, -2.065697e-02, -9.515083e-01, 3.069288e-01
13, -6.608756e-01, -3.348354e-02, -7.497482e-01, -3.629537e-01, -8.593964e-01, 3.601423e-01
1.310000e+01, -4.940555e-01, 5.607084e-02, -8.676205e-01, -6.654363e-01, -6.682988e-01, 3.325227e-01
1.320000e+01, -2.935243e-01, 8.405396e-02, -9.522491e-01, -8.849116e-01, -4.042183e-01, 2.313851e-01
1.330000e+01, -8.613655e-02, 4.151820e-02, -9.954179e-01, -9.923129e-01, -1.039944e-01, 6.708462e-02
1.340000e+01, 1.125466e-01, -6.916166e-02, -9.912366e-01, -9.719878e-01, 1.916465e-01, -1.360562e-01
1.350000e+01, 2.577475e-01, -2.189116e-01, -9.410866e-01, -8.275311e-01, 4.396924e-01, -3.490887e-01
1.360000e+01, 3.452775e-01, -4.105016e-01, -8.439620e-01, -5.776331e-01, 6.078178e-01, -5.448830e-01
1.370000e+01, 3.529198e-01, -5.972437e-01, -7.202413e-01, -2.580140e-01, 6.722567e-01, -6.939018e-01
1.380000e+01, 2.737381e-01, -7.569111e-01, -5.934248e-01, 8.781074e-02, 6.230752e-01, -7.772172e-01
1.390000e+01, 1.413871e-01, -8.735754e-01, -4.656991e-01, 4.101775e-01, 4.686217e-01, -7.823990e-01
14, -6.280782e-02, -9.316245e-01, -3.579540e-01, 6.676073e-01, 2.301030e-01, -7.080630e-01
1.410000e+01, -2.722344e-01, -9.156639e-01, -2.957160e-01, 8.221293e-01, -6.052258e-02, -5.660746e-01
1.420000e+01, -4.816896e-01, -8.294154e-01, -2.829226e-01, 8.529060e-01, -3.631409e-01, -3.750735e-01
1.430000e+01, -6.395180e-01, -6.939085e-01, -3.309195e-01, 7.556188e-01, -6.344445e-01, -1.628509e-01
1.440000e+01, -7.592857e-01, -5.113538e-01, -4.024953e-01, 5.449820e-01, -8.373332e-01, 4.321727e-02
1.450000e+01, -7.886774e-01, -3.297955e-01, -5.188668e-01, 2.469589e-01, -9.451477e-01, 2.137924e-01
1.460000e+01, -7.507980e-01, -1.430958e-01, -6.448457e-01, -9.293436e-02, -9.411375e-01, 3.249977e-01
1.470000e+01, -6.248504e-01, -2.436131e-02, -7.803643e-01, -4.311277e-01, -8.266046e-01, 3.617371e-01
1.480000e+01, -4.519144e-01, 5.783975e-02, -8.901842e-01, -7.188311e-01, -6.181236e-01, 3.181276e-01
1.490000e+01, -2.426542e-01, 8.203736e-02, -9.666379e-01, -9.177936e-01, -3.428097e-01, 2.003407e-01
15, -2.730194e-02, 1.627402e-02, -9.994948e-01, -9.987730e-01, -4.154401e-02, 2.695348e-02
1.510000e+01, 1.538078e-01, -9.288176e-02, -9.837256e-01, -9.518334e-01, 2.478735e-01, -1.804771e-01
1.520000e+01, 2.895411e-01, -2.595517e-01, -9.213028e-01, -7.834220e-01, 4.812497e-01, -3.932540e-01
1.530000e+01, 3.624167e-01, -4.423619e-01, -8.203475e-01, -5.167160e-01, 6.295693e-01, -5.802130e-01
